127.0.0.1 - - [10/Dec/2018:20:27:24 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:48 +0800] "GET /crm_ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:49 +0800] "GET /crm_/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:53 +0800] "GET /crm_/login;jsessionid=FFF4F7EBE1D4299304786689ADEAA7D7 HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:53 +0800] "GET /crm_/static/css/styles.css HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:53 +0800] "GET /crm_/static/jquery/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:53 +0800] "GET /crm_/static/images/logo2.gif HTTP/1.1" 200 18305
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:53 +0800] "GET /crm_/static/images/login/spacer.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_03.jpg HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_05.jpg HTTP/1.1" 200 9706
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_08.jpg HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_09.jpg HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_button.jpg HTTP/1.1" 200 9975
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_14.jpg HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_11.jpg HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_12.jpg HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/login;jsessionid=FFF4F7EBE1D4299304786689ADEAA7D7 HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_16.jpg HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /crm_/static/images/login/login_10.jpg HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:27:54 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:01 +0800] "POST /crm_/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:03 +0800] "GET /crm_/ HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:06 +0800] "GET /crm_/footer HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:06 +0800] "GET /crm_/welcome HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:07 +0800] "GET /crm_/header HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:07 +0800] "GET /crm_/static/images/welcome.gif HTTP/1.1" 200 58316
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:07 +0800] "GET /crm_/menu HTTP/1.1" 200 12874
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:07 +0800] "GET /crm_/static/images/logo.jpg HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/static/css/menu.css HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/images/arrow-right.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/images/Rarrow.gif HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/styles.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/styles.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:08 +0800] "GET /crm_/styles.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:22 +0800] "GET /crm_/images/Darrow.gif HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:47 +0800] "GET /crm_/report/consist?type=search_level HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:49 +0800] "GET /crm_/report/pay HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:28:55 +0800] "GET /crm_/report/pay HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:02 +0800] "GET /crm_/report/pay?search_name=&search_date1=&search_date2= HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:02 +0800] "GET /crm_/report/pay?search_name=&search_date1=&search_date2= HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:06 +0800] "GET /crm_/report/drain HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:08 +0800] "GET /crm_/product/list HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:08 +0800] "GET /crm_/static/images/bt_edit.gif HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:08 +0800] "GET /crm_/static/images/bt_del.gif HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:09 +0800] "GET /crm_/storage/list HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:29:11 +0800] "GET /crm_/user/list HTTP/1.1" 200 5760
